iter	Logloss
0	0.5521912219
1	0.5159619401
2	0.5064269472
3	0.5003557014
4	0.4979720598
5	0.4968428344
6	0.4963554805
7	0.4962734839
8	0.4960707127
9	0.4959212604
10	0.4957625688
11	0.4956848275
12	0.4956810644
13	0.495575613
14	0.4954274726
15	0.4953573788
16	0.4951902085
17	0.4950996788
18	0.4949964096
19	0.4949095586
20	0.4949033791
21	0.494844805
22	0.4947993633
23	0.4947046406
24	0.494667562
25	0.4946207165
26	0.4945313564
27	0.4944493064
28	0.4943718006
29	0.4942451366
30	0.494188773
31	0.4940879981
32	0.4939552195
33	0.4938002745
34	0.4937357034
35	0.493712519
36	0.4936137767
37	0.49353512
38	0.493508608
39	0.4934447848
40	0.4933648231
41	0.4933134369
42	0.4931881231
43	0.4931155418
44	0.4930544643
45	0.4930023101
46	0.4929295373
47	0.4928667101
48	0.4928243635
49	0.4927975318
50	0.4927460214
51	0.4927046694
52	0.4926250446
53	0.4925083774
54	0.4924294906
55	0.492419886
56	0.4923601613
57	0.4923289354
58	0.4922451875
59	0.4921885629
60	0.4921295022
61	0.4920873498
62	0.4920419064
63	0.4919558764
64	0.4919112631
65	0.4918918904
66	0.4918428749
67	0.4918061338
68	0.4917407245
69	0.4917127115
70	0.4916624893
71	0.4916501908
72	0.4916148721
73	0.4915543136
74	0.4915262481
75	0.4914246367
76	0.4913714288
77	0.4913418798
78	0.4912682318
79	0.4912342387
80	0.4912097487
81	0.4911587011
82	0.4910927647
83	0.4910329445
84	0.4909915394
85	0.490959643
86	0.4908812678
87	0.4907533699
88	0.4906799392
89	0.4905822101
90	0.4905094151
91	0.490493176
92	0.4903885018
93	0.4903672344
94	0.4903239744
95	0.490216531
96	0.4901092635
97	0.4900609683
98	0.4899934796
99	0.4899438626
100	0.4898854761
101	0.4898201422
102	0.4897726242
103	0.4896972202
104	0.4896233525
105	0.4896039292
106	0.489531855
107	0.4894868429
108	0.4894743849
109	0.4893815209
110	0.4893445782
111	0.4892755098
112	0.4892212974
113	0.4892095904
114	0.4892045074
115	0.4891434105
116	0.4890733513
117	0.4890521107
118	0.489015403
119	0.4889599629
120	0.4889247882
121	0.4888839987
122	0.4888248949
123	0.4887350223
124	0.4886421246
125	0.488585285
126	0.4885599905
127	0.488509339
128	0.4884768663
129	0.488406499
130	0.4883865633
131	0.4883361607
132	0.4883026476
133	0.4882645942
134	0.4881942615
135	0.4881804096
136	0.4881068255
137	0.4880737329
138	0.4880297617
139	0.4879858342
140	0.4879074556
141	0.4878882364
142	0.4878207026
143	0.4877855544
144	0.4877644186
145	0.4876472371
146	0.4876168925
147	0.4875617097
148	0.4875317701
149	0.4875088521
150	0.4874577416
151	0.4873538658
152	0.4873082309
153	0.4872426832
154	0.4871940445
155	0.4871714187
156	0.4870623796
157	0.486921866
158	0.4868723888
159	0.486799761
160	0.4867609593
161	0.4866898184
162	0.4866507085
163	0.4865402199
164	0.4864789894
165	0.4864470431
166	0.4864236047
167	0.4863873048
168	0.4863218535
169	0.4862553755
170	0.4861912646
171	0.4861512754
172	0.4860946575
173	0.4860707136
174	0.4860115613
175	0.485977587
176	0.485883686
177	0.485846067
178	0.4858013615
179	0.4857053952
180	0.4855598527
181	0.485509618
182	0.4854814547
183	0.4854576123
184	0.4853323187
185	0.4853056301
186	0.4852345537
187	0.4851573236
188	0.4850761324
189	0.4850531549
190	0.4849619436
191	0.4849491562
192	0.4849313368
193	0.4849041408
194	0.4848720151
195	0.484865832
196	0.4848251019
197	0.4847871352
198	0.4847226964
199	0.4846732905
