iter	Passed	Remaining
0	103	20639
1	191	18934
2	221	14565
3	274	13464
4	388	15166
5	490	15847
6	577	15922
7	624	14981
8	715	15184
9	807	15335
10	902	15511
11	989	15496
12	1042	14996
13	1136	15099
14	1227	15138
15	1314	15111
16	1404	15118
17	1478	14944
18	1570	14961
19	1652	14872
20	1702	14512
21	1786	14457
22	1874	14422
23	1979	14514
24	2071	14503
25	2165	14491
26	2251	14424
27	2339	14368
28	2431	14336
29	2528	14326
30	2625	14314
31	2726	14316
32	2810	14222
33	2905	14185
34	3002	14153
35	3087	14065
36	3187	14041
37	3290	14029
38	3382	13963
39	3475	13903
40	3562	13816
41	3642	13701
42	3733	13633
43	3832	13587
44	3931	13540
45	4020	13459
46	4115	13397
47	4201	13306
48	4306	13269
49	4407	13223
50	4505	13161
51	4590	13064
52	4690	13010
53	4777	12916
54	4876	12856
55	4970	12780
56	5059	12692
57	5150	12609
58	5241	12526
59	5337	12454
60	5430	12373
61	5519	12285
62	5609	12199
63	5705	12123
64	5807	12060
65	5889	11957
66	5999	11909
67	6086	11815
68	6170	11714
69	6244	11597
70	6340	11519
71	6450	11467
72	6541	11379
73	6616	11265
74	6708	11180
75	6793	11084
76	6891	11008
77	7001	10950
78	7090	10860
79	7184	10777
80	7278	10692
81	7370	10606
82	7477	10540
83	7562	10444
84	7646	10344
85	7735	10254
86	7815	10150
87	7906	10063
88	7996	9973
89	8088	9886
90	8176	9793
91	8256	9691
92	8346	9603
93	8436	9513
94	8544	9443
95	8635	9355
96	8733	9274
97	8812	9171
98	8905	9085
99	9008	9008
100	9096	8915
101	9196	8836
102	9287	8746
103	9386	8664
104	9475	8572
105	9559	8477
106	9638	8377
107	9722	8282
108	9811	8191
109	9901	8100
110	10009	8025
111	10115	7948
112	10206	7857
113	10288	7761
114	10372	7666
115	10463	7577
116	10551	7485
117	10650	7401
118	10737	7308
119	10824	7216
120	10921	7130
121	11017	7043
122	11112	6956
123	11192	6860
124	11279	6767
125	11370	6678
126	11463	6589
127	11552	6498
128	11624	6397
129	11723	6312
130	11819	6225
131	11904	6132
132	11990	6040
133	12085	5952
134	12163	5856
135	12248	5763
136	12328	5669
137	12417	5579
138	12505	5487
139	12606	5402
140	12697	5313
141	12800	5228
142	12889	5137
143	12984	5049
144	13076	4960
145	13168	4870
146	13250	4777
147	13339	4686
148	13425	4595
149	13508	4502
150	13601	4413
151	13694	4324
152	13786	4235
153	13875	4144
154	13977	4057
155	14056	3964
156	14145	3874
157	14229	3782
158	14328	3694
159	14412	3603
160	14512	3515
161	14611	3427
162	14717	3340
163	14807	3250
164	14914	3163
165	15009	3074
166	15109	2985
167	15187	2892
168	15254	2798
169	15311	2702
170	15382	2608
171	15445	2514
172	15506	2420
173	15577	2327
174	15643	2234
175	15722	2143
176	15793	2052
177	15865	1960
178	15942	1870
179	16019	1779
180	16085	1688
181	16148	1597
182	16218	1506
183	16295	1417
184	16375	1327
185	16475	1240
186	16553	1150
187	16623	1061
188	16701	972
189	16772	882
190	16860	794
191	16929	705
192	17007	616
193	17089	528
194	17164	440
195	17234	351
196	17316	263
197	17407	175
198	17489	87
199	17568	0
